timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1768130021500,348,Soap Request,200,OK,Number of Users 1-1,text,true,,758,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,348,0,0
1768130021768,382,Soap Request,200,OK,Number of Users 1-5,text,true,,750,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,382,0,0
1768130021769,381,Soap Request,200,OK,Number of Users 1-2,text,true,,752,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,381,0,0
1768130021848,371,Soap Request,200,OK,Number of Users 1-1,text,true,,760,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,371,0,0
1768130022151,360,Soap Request,200,OK,Number of Users 1-2,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,360,0,0
1768130022151,361,Soap Request,200,OK,Number of Users 1-5,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,360,0,0
1768130022219,364,Soap Request,200,OK,Number of Users 1-1,text,true,,752,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,364,0,0
1768130021836,845,Soap Request,200,OK,Number of Users 1-3,text,true,,752,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,845,0,0
1768130022512,373,Soap Request,200,OK,Number of Users 1-5,text,true,,756,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,373,0,0
1768130022512,374,Soap Request,200,OK,Number of Users 1-2,text,true,,758,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,374,0,0
1768130022584,371,Soap Request,200,OK,Number of Users 1-1,text,true,,758,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,371,0,0
1768130020635,2567,Soap Request,200,OK,Number of Users 1-4,text,true,,756,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,2567,0,0
1768130022886,389,Soap Request,200,OK,Number of Users 1-5,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,389,0,0
1768130022887,388,Soap Request,200,OK,Number of Users 1-2,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,388,0,0
1768130022956,416,Soap Request,200,OK,Number of Users 1-1,text,true,,758,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,416,0,0
1768130023276,422,Soap Request,200,OK,Number of Users 1-5,text,true,,752,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,422,0,0
1768130023278,422,Soap Request,200,OK,Number of Users 1-2,text,true,,758,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,421,0,0
1768130022682,1016,Soap Request,200,OK,Number of Users 1-3,text,true,,752,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,1016,0,0
1768130023372,401,Soap Request,200,OK,Number of Users 1-1,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,401,0,0
1768130023202,824,Soap Request,200,OK,Number of Users 1-4,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,824,0,0
1768130023701,384,Soap Request,200,OK,Number of Users 1-5,text,true,,762,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,384,0,0
1768130023702,383,Soap Request,200,OK,Number of Users 1-2,text,true,,750,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,383,0,0
1768130023773,379,Soap Request,200,OK,Number of Users 1-1,text,true,,752,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,379,0,0
1768130023701,567,Soap Request,200,OK,Number of Users 1-3,text,true,,756,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,567,0,0
1768130024086,375,Soap Request,200,OK,Number of Users 1-2,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,375,0,0
1768130024086,386,Soap Request,200,OK,Number of Users 1-5,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,386,0,0
1768130024153,369,Soap Request,200,OK,Number of Users 1-1,text,true,,756,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,369,0,0
1768130024027,649,Soap Request,200,OK,Number of Users 1-4,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,649,0,0
1768130024461,378,Soap Request,200,OK,Number of Users 1-2,text,true,,750,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,378,0,0
1768130024473,383,Soap Request,200,OK,Number of Users 1-5,text,true,,748,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,383,0,0
1768130024523,387,Soap Request,200,OK,Number of Users 1-1,text,true,,752,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,387,0,0
1768130024676,334,Soap Request,200,OK,Number of Users 1-4,text,true,,750,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,333,0,0
1768130024269,800,Soap Request,200,OK,Number of Users 1-3,text,true,,758,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,800,0,0
1768130024840,421,Soap Request,200,OK,Number of Users 1-2,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,421,0,0
1768130024857,404,Soap Request,200,OK,Number of Users 1-5,text,true,,760,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,404,0,0
1768130024911,384,Soap Request,200,OK,Number of Users 1-1,text,true,,750,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,384,0,0
1768130025262,383,Soap Request,200,OK,Number of Users 1-2,text,true,,758,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,383,0,0
1768130025262,400,Soap Request,200,OK,Number of Users 1-5,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,400,0,0
1768130025296,381,Soap Request,200,OK,Number of Users 1-1,text,true,,752,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,381,0,0
1768130025010,843,Soap Request,200,OK,Number of Users 1-4,text,true,,754,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,843,0,0
1768130025070,814,Soap Request,200,OK,Number of Users 1-3,text,true,,758,557,5,5,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,814,0,0
